sort-key	name	mech-tons	engine-default	left arm	left torso	center	right torso	right arm	head	jj	ecm	masc	engines	hardpoints	torso/arm	costs	mechfilter-faction	mechfilter-variant	mechfilter-family	mechfilter-type	default-engine	engine-speedtweak	engine-min	engine-max
clan.ebonjaguar.ebj-a	ebj-a	65	xl 325	1 b 2 e	3 e		1 b	1 b 2 e					xl 325	7 3 0	90 / 20 25 / 30	5,260 13,141,764	clan	281	ebonjaguar	normal	325	0	325	325
clan.ebonjaguar.ebj-b	ebj-b	65	xl 325	2 e	2 e		1 e	2 e					xl 325	7 0 0	90 / 20 25 / 30	5,330 13,324,809	clan	282	ebonjaguar	normal	325	0	325	325
clan.ebonjaguar.ebj-c	ebj-c	65	xl 325	1 b 1 m (20)	1 m (20)		1 m (20)	1 b 1 m (20)					xl 325	0 2 4	90 / 20 25 / 30	4,970 12,415,149	clan	283	ebonjaguar	normal	325	0	325	325
clan.ebonjaguar.ebj-d	ebj-d	65	xl 325	1 b	1 e		2 e	1 b					xl 325	3 2 0	90 / 20 25 / 30	n/a	clan	600	ebonjaguar	normal	325	0	325	325
clan.ebonjaguar.ebj-prime	ebj-prime	65	xl 325	1 b	1 e 1 m (20)		1 ams 1 m (20)	1 b					xl 325	1 2 2	90 / 20 25 / 30	4,930 12,321,989	clan	280	ebonjaguar	normal	325	0	325	325
clan.ebonjaguar.ebj-prime(c) champion	ebj-prime(c) champion	65	xl 325	1 b	3 e		1 b	1 b					xl 325	3 3 0	90 / 20 25 / 30	n/a	clan	403	ebonjaguar	champion	325	0	325	325
clan.ebonjaguar.esprit de corps hero	esprit de corps hero	65	xl 325	1 e 1 m (20)	1 b		1 e	1 e 1 m (20)					xl 325	3 1 2	90 / 20 25 / 30	n/a	clan	591	ebonjaguar	hero	325	0	325	325
clan.hellbringer.hbr-a	hbr-a	65	xl 325	2 e	1 m (20)		2 b 1 m (20)	1 b	1 e				xl 325	3 3 2	90 / 20 20 / 30	5,265 13,151,413	clan	231	hellbringer	normal	325	0	325	325
clan.hellbringer.hbr-b	hbr-b	65	xl 325	1 b	1 e		2 m (20x2)	1 b					xl 325	1 2 2	90 / 20 20 / 30	4,965 12,403,883	clan	232	hellbringer	normal	325	0	325	325
clan.hellbringer.hbr-f	hbr-f	65	xl 325	1 b 1 e	1 e		1 e 1 m (20)	1 b 1 e					xl 325	4 2 1	90 / 20 20 / 30	n/a	clan	516	hellbringer	normal	325	0	325	325
clan.hellbringer.hbr-f(c) champion	hbr-f(c) champion	65	xl 325	1 b 1 e	1 ecm 3 e		1 e 1 m (20)	1 b 1 e	1 e				xl 325	7 2 1	90 / 20 20 / 30	n/a	clan	532	hellbringer	champion	325	0	325	325
clan.hellbringer.hbr-f(l) special	hbr-f(l) special	65	xl 325	1 b 1 e	1 e		1 e 1 m (20)	1 b 1 e					xl 325	4 2 1	90 / 20 20 / 30	n/a	clan	466	hellbringer	special	325	0	325	325
clan.hellbringer.hbr-p	hbr-p	65	xl 325	2 e	1 m (20)		2 e	1 e					xl 325	5 0 1	90 / 20 20 / 30	n/a	clan	601	hellbringer	normal	325	0	325	325
clan.hellbringer.hbr-prime	hbr-prime	65	xl 325	1 e	1 ecm 3 e		2 b 1 m (20)	1 e	1 ams				xl 325	5 2 1	90 / 20 20 / 30	5,480 13,695,385	clan	230	hellbringer	normal	325	0	325	325
clan.hellbringer.virago hero	virago hero	65	xl 325	2 e	2 e		2 e	2 m (20x2)					xl 325	6 0 2	90 / 20 20 / 30	n/a	clan	592	hellbringer	hero	325	0	325	325
clan.highlanderiic.hgn-iic-c(c) champion	hgn-iic-c(c) champion	90	xl 325	1 m (20)	1 ams 3 e		1 m (20)	2 b		3			180 - 325 xl 325	3 2 2	85 / 20 20 / 30	6,335	clan	455	highlanderiic	champion	325	0	180	325
clan.stormcrow.lacerator hero	lacerator hero	55	xl 330	1 b	1 ams		1 ams 1 e	1 b 1 e					xl 330	2 2 0	130 / 35 20 / 30	n/a	clan	479	stormcrow	hero	330	0	330	330
clan.stormcrow.scr-a	scr-a	55	xl 330	4 e	1 m (20)		1 m (20)	1 m (20)					xl 330	4 0 3	130 / 35 20 / 30	4,530 11,317,504	clan	268	stormcrow	normal	330	0	330	330
clan.stormcrow.scr-b	scr-b	55	xl 330	1 b				6 e					xl 330	6 1 0	130 / 35 20 / 30	4,675 11,685,354	clan	308	stormcrow	normal	330	0	330	330
clan.stormcrow.scr-c	scr-c	55	xl 330	1 b	1 e		1 e	1 e					xl 330	3 1 0	130 / 35 20 / 30	4,460 11,139,367	clan	184	stormcrow	normal	330	0	330	330
clan.stormcrow.scr-d	scr-d	55	xl 330	1 m (20)	2 m (20, 15)		1 m (20)	1 m (20)					xl 330	0 0 5	130 / 35 20 / 30	4,480 11,187,742	clan	185	stormcrow	normal	330	0	330	330
clan.stormcrow.scr-prime	scr-prime	55	xl 330	2 e			1 ams	2 e	1 e				xl 330	5 0 0	130 / 35 20 / 30	4,450 11,113,382	clan	183	stormcrow	normal	330	0	330	330
clan.stormcrow.scr-prime(c) champion	scr-prime(c) champion	55	xl 330	2 e	1 e		1 e	1 m (20)	1 e				xl 330	5 0 1	130 / 35 20 / 30	5,565	clan	353	stormcrow	champion	330	0	330	330
clan.vaporeagle.rival hero	rival hero	55	xl 330	3 b		1 ams	1 m (20)	2 e		6			110 - 400 xl 330	2 3 1	125 / 35 20 / 30	n/a	clan	752	vaporeagle	hero	330	0	110	400
clan.vaporeagle.vgl-1	vgl-1	55	xl 330	3 b	1 b 1 e 1 m (20)	1 ams	2 e 1 m (20)	1 e		6			110 - 400 xl 330	4 4 2	125 / 35 20 / 30	n/a	clan	747	vaporeagle	normal	330	0	110	400
clan.vaporeagle.vgl-2	vgl-2	55	xl 330	3 b	2 b	1 ams	1 e	1 e		6			110 - 400 xl 330	2 5 0	125 / 35 20 / 30	n/a	clan	748	vaporeagle	normal	330	0	110	400
clan.vaporeagle.vgl-3	vgl-3	55	xl 330	1 m (20)	1 e 1 m (20)	1 ams	2 e 1 m (20)	1 e		6			110 - 400 xl 330	4 0 3	125 / 35 20 / 30	n/a	clan	749	vaporeagle	normal	330	0	110	400
clan.vaporeagle.vgl-4	vgl-4	55	xl 330	3 e	1 m (20)	1 ams	1 m (20)	4 e					110 - 400 xl 330	7 0 2	125 / 35 20 / 30	n/a	clan	750	vaporeagle	normal	330	0	110	400
clan.vaporeagle.vgl-a	vgl-a	55	xl 330	2 m (20x2)	1 b 1 e	1 ams	1 e	2 m (20x2)		6			110 - 400 xl 330	2 1 4	125 / 35 20 / 30	n/a	clan	751	vaporeagle	normal	330	0	110	400
clan.marauderiic.mad-iic-b	mad-iic-b	85	xl 340	2 e	1 ams 2 m (20x2)		1 e	2 e		4			170 - 400 xl 340	5 0 2	70 / 20 20 / 30	n/a	clan	496	marauderiic	normal	340	0	170	400
clan.marauderiic.mad-iic-c	mad-iic-c	85	xl 340	3 e	1 ams		2 b	2 e		4			170 - 400 xl 340	5 2 0	70 / 20 20 / 30	n/a	clan	497	marauderiic	normal	340	0	170	400
clan.marauderiic.scorch hero	scorch hero	85	xl 340	1 b 1 e	1 ams 2 m (20x2)		2 m (20x2)	1 b 1 e					170 - 400 xl 340	2 2 4	70 / 20 20 / 30	n/a	clan	499	marauderiic	hero	340	0	170	400
clan.warhawk.nanuq hero	nanuq hero	85	xl 340	3 e			1 m (20)	2 b					xl 340	3 2 1	90 / 20 20 / 30	n/a	clan	482	warhawk	hero	340	0	340	340
clan.warhawk.whk-a	whk-a	85	xl 340	2 e 1 m (20)			1 m (20)	1 b					xl 340	2 1 2	90 / 20 20 / 30	6,330 15,816,221	clan	192	warhawk	normal	340	0	340	340
clan.warhawk.whk-b	whk-b	85	xl 340	1 b 1 e		1 m (15)	2 m (20, 15)	3 e					xl 340	4 1 3	90 / 20 20 / 30	6,125 15,311,701	clan	193	warhawk	normal	340	0	340	340
clan.warhawk.whk-c	whk-c	85	xl 340	2 e		1 e		2 e					xl 340	5 0 0	90 / 20 20 / 30	6,190 15,473,201	clan	271	warhawk	normal	340	0	340	340
clan.warhawk.whk-c(c) champion	whk-c(c) champion	85	xl 340	1 b 1 e		1 e		3 e					xl 340	5 1 0	90 / 20 20 / 30	7,740	clan	404	warhawk	champion	340	0	340	340
clan.warhawk.whk-prime	whk-prime	85	xl 340	2 e 1 m (20)			1 ams	2 e					xl 340	4 0 1	90 / 20 20 / 30	6,465 16,152,261	clan	191	warhawk	normal	340	0	340	340
clan.summoner.pride hero	pride hero	70	xl 350	2 b	1 ams 1 e			1 e		5			xl 350	2 2 0	80 / 20 20 / 30	n/a	clan	480	summoner	hero	350	0	350	350
clan.summoner.smn-b	smn-b	70	xl 350	2 m (10x2)	1 ams 1 m (20)			2 m (10x2)		5			xl 350	0 0 5	80 / 20 20 / 30	5,630 14,069,481	clan	188	summoner	normal	350	0	350	350
clan.summoner.smn-c	smn-c	70	xl 350	1 b	1 m (20)			2 e		5			xl 350	2 1 1	80 / 20 20 / 30	5,585 13,957,711	clan	269	summoner	normal	350	0	350	350
clan.summoner.smn-d	smn-d	70	xl 350	2 e	1 ams 1 b		1 ams 1 b	2 e		5			xl 350	4 2 0	80 / 20 20 / 30	5,560 13,899,241	clan	189	summoner	normal	350	0	350	350
clan.summoner.smn-f	smn-f	70	xl 350	1 b 1 e	1 m (20)		1 e	1 b 1 e		5			xl 350	3 2 1	80 / 20 20 / 30	n/a	clan	517	summoner	normal	350	0	350	350
clan.summoner.smn-f(l) special	smn-f(l) special	70	xl 350	1 b 1 e	1 m (20)		1 e	1 b 1 e		5			xl 350	3 2 1	80 / 20 20 / 30	n/a	clan	467	summoner	special	350	0	350	350
clan.summoner.smn-m	smn-m	70	xl 350	1 b	1 e 1 m (20)			1 e		5			xl 350	2 1 1	80 / 20 20 / 30	n/a	clan	518	summoner	normal	350	0	350	350
clan.summoner.smn-m(l) special	smn-m(l) special	70	xl 350	1 b	1 e 1 m (20)			1 e		5			xl 350	2 1 1	80 / 20 20 / 30	n/a	clan	468	summoner	special	350	0	350	350
clan.summoner.smn-prime	smn-prime	70	xl 350	1 b	1 m (20)			1 e		5			xl 350	1 1 1	80 / 20 20 / 30	5,630 14,071,353	clan	187	summoner	normal	350	0	350	350
clan.sunspider.manul hero	manul hero	70	xl 350	2 e	1 e		1 ams	2 e					xl 350	5 0 0	80 / 0 20 / 30	n/a	clan	680	sunspider	hero	350	0	350	350
clan.sunspider.sns-a	sns-a	70	xl 350	1 e	2 b		2 b	1 e					xl 350	2 4 0	80 / 0 20 / 30	n/a	clan	676	sunspider	normal	350	0	350	350
clan.sunspider.sns-b	sns-b	70	xl 350	1 e 1 m (20)	1 ams 1 e		1 b	1 e 1 m (20)					xl 350	3 1 2	80 / 0 20 / 30	n/a	clan	677	sunspider	normal	350	0	350	350
clan.sunspider.sns-c	sns-c	70	xl 350	2 m (20x2)	1 m (20)		1 m (20)	2 m (20x2)					xl 350	0 0 6	80 / 0 20 / 30	n/a	clan	678	sunspider	normal	350	0	350	350
clan.sunspider.sns-d	sns-d	70	xl 350	1 b	1 ecm		2 b	1 b					xl 350	0 4 0	80 / 0 20 / 30	n/a	clan	679	sunspider	normal	350	0	350	350
clan.sunspider.sns-prime	sns-prime	70	xl 350	2 m (20x2)	1 e		1 b	2 m (20x2)					xl 350	1 1 4	80 / 0 20 / 30	n/a	clan	675	sunspider	normal	350	0	350	350
clan.sunspider.vanguard hero	vanguard hero	70	xl 350	1 m (20)	1 b 1 e		1 b	2 m (20x2)					xl 350	1 2 3	80 / 0 20 / 30	n/a	clan	681	sunspider	hero	350	0	350	350
clan.bloodasp.bas-a	bas-a	90	xl 360	2 e		1 ecm		2 e					xl 360	4 0 0	80 / 20 20 / 20	n/a	clan	706	bloodasp	normal	360	0	360	360
clan.bloodasp.bas-b	bas-b	90	xl 360	1 m (20)	4 e	1 ecm	1 b	1 m (20)					xl 360	4 1 2	80 / 20 20 / 20	n/a	clan	707	bloodasp	normal	360	0	360	360
clan.bloodasp.bas-c	bas-c	90	xl 360	1 b	1 b		1 b	1 e					xl 360	1 3 0	80 / 20 20 / 20	n/a	clan	708	bloodasp	normal	360	0	360	360
clan.bloodasp.bas-d	bas-d	90	xl 360	2 e	1 b		3 b	2 e					xl 360	4 4 0	80 / 20 20 / 20	n/a	clan	709	bloodasp	normal	360	0	360	360
clan.bloodasp.bas-prime	bas-prime	90	xl 360	3 e	1 b	1 m (15)	1 ams 1 b	3 e					xl 360	6 2 1	80 / 20 20 / 20	n/a	clan	705	bloodasp	normal	360	0	360	360
clan.bloodasp.rancor hero	rancor hero	90	xl 360	2 e	1 e 1 m (20)		1 e 1 m (20)	2 e					xl 360	6 0 2	80 / 20 20 / 20	n/a	clan	710	bloodasp	hero	360	0	360	360
clan.iceferret.ifr-a	ifr-a	45	xl 360	1 b		1 e		1 ams 1 e					xl 360	2 1 0	135 / 25 20 / 25	4,085 10,208,350	clan	220	iceferret	normal	360	0	360	360
clan.iceferret.ifr-b	ifr-b	45	xl 360	1 e 1 m (20)		1 e		1 m (20)					xl 360	2 0 2	135 / 25 20 / 25	4,060 10,149,049	clan	305	iceferret	normal	360	0	360	360
clan.iceferret.ifr-c	ifr-c	45	xl 360	1 m (20)	1 m (20)	1 e		1 m (20)					xl 360	1 0 3	135 / 25 20 / 25	4,030 10,065,910	clan	221	iceferret	normal	360	0	360	360
clan.iceferret.ifr-d	ifr-d	45	xl 360	1 ams 1 e		1 e		2 e					xl 360	4 0 0	135 / 25 20 / 25	4,030 10,065,049	clan	263	iceferret	normal	360	0	360	360
clan.iceferret.ifr-p	ifr-p	45	xl 360	1 e 1 m (20)		1 ecm	1 e	2 e					xl 360	4 0 1	135 / 25 20 / 25	n/a	clan	597	iceferret	normal	360	0	360	360
clan.iceferret.ifr-prime	ifr-prime	45	xl 360	2 e				1 m (20)					xl 360	2 0 1	135 / 25 20 / 25	4,200 10,489,550	clan	219	iceferret	normal	360	0	360	360
clan.iceferret.rainbow crow hero	rainbow crow hero	45	xl 360	2 e		1 ecm	1 m (20)	1 b					xl 360	2 1 1	135 / 25 20 / 25	n/a	clan	588	iceferret	hero	360	0	360	360
clan.madcatmkii.deathstrike hero	deathstrike hero	90	xl 360	1 b 1 e	2 e	1 ams	2 e	1 b 1 e		3			180 - 400 xl 360	6 2 0	85 / 0 20 / 30	n/a	clan	585	madcatmkii	hero	360	0	180	400
clan.madcatmkii.mcii-1	mcii-1	90	xl 360	1 b	2 e 1 m (20)	1 ams	2 e 1 m (20)	1 b		3			180 - 400 xl 360	4 2 2	85 / 0 20 / 30	n/a	clan	580	madcatmkii	normal	360	0	180	400
clan.madcatmkii.mcii-2	mcii-2	90	xl 360	1 b	1 e 2 m (20x2)	1 ams	1 e 2 m (20x2)	1 b		3			180 - 400 xl 360	2 2 4	85 / 0 20 / 30	n/a	clan	581	madcatmkii	normal	360	0	180	400
clan.madcatmkii.mcii-4	mcii-4	90	xl 360	2 e	2 m (20x2)	1 ams	2 m (20x2)	2 e		4			180 - 400 xl 360	4 0 4	85 / 20 20 / 30	n/a	clan	582	madcatmkii	normal	360	0	180	400
clan.madcatmkii.mcii-a	mcii-a	90	xl 360	2 e	1 ams 1 e 1 m (20)	1 b	1 b 1 m (20)	2 e		3			180 - 400 xl 360	5 2 2	85 / 20 20 / 30	n/a	clan	583	madcatmkii	normal	360	0	180	400
clan.madcatmkii.mcii-b	mcii-b	90	xl 360	2 b	1 ams 1 e	2 m (15, 10)	1 e	2 b		3			180 - 400 xl 360	2 4 2	85 / 20 20 / 30	n/a	clan	584	madcatmkii	normal	360	0	180	400
clan.orioniic.on1-iic-a(c) champion	on1-iic-a(c) champion	75	xl 360	1 e 2 m (20x2)	1 ams 2 m (20x2)		1 b	1 e					150 - 360 xl 360	2 1 4	85 / 20 20 / 30	3,925	clan	454	orioniic	champion	360	0	150	360
clan.kodiak.kdk-3(c) champion	kdk-3(c) champion	100	xl 375	2 e	2 b		1 ams 2 b	2 e					200 - 400 xl 375	4 4 0	60 / 30 16 / 30	n/a	clan	533	kodiak	champion	375	0	200	400
clan.timberwolf.tbr-a	tbr-a	75	xl 375	1 e	3 e	1 e	1 m (20)	1 e					xl 375	6 0 1	80 / 25 20 / 30	5,910 14,769,027	clan	309	timberwolf	normal	375	0	375	375
clan.timberwolf.tbr-c	tbr-c	75	xl 375	2 e	1 ams 1 m (20)	1 e	1 m (20)	1 b					xl 375	3 1 2	80 / 25 20 / 30	6,070 15,163,647	clan	164	timberwolf	normal	375	0	375	375
clan.timberwolf.tbr-c(c) champion	tbr-c(c) champion	75	xl 375	2 e	1 e 1 m (20)	1 e	1 b 1 e 2 m (20, 15)	1 b					xl 375	5 2 3	80 / 25 20 / 30	7,590	clan	318	timberwolf	champion	375	0	375	375
clan.timberwolf.tbr-d	tbr-d	75	xl 375	1 e	2 m (20, 15)	1 e	2 m (20, 15)	1 e					xl 375	3 0 4	80 / 25 20 / 30	6,075 15,177,027	clan	270	timberwolf	normal	375	0	375	375
clan.timberwolf.tbr-prime	tbr-prime	75	xl 375	2 e	1 e 1 m (20)	1 b	1 b 1 m (20)	2 e					xl 375	5 2 2	80 / 25 20 / 30	6,075 15,178,647	clan	163	timberwolf	normal	375	0	375	375
clan.timberwolf.tbr-s	tbr-s	75	xl 375	1 e	1 b 2 m (20, 15)		1 b 1 e 2 m (20, 15)	2 e					xl 375	4 2 4	80 / 25 20 / 30	5,910 14,766,027	clan	165	timberwolf	normal	375	0	375	375
clan.timberwolf.warrant hero	warrant hero	75	xl 375	1 b	1 e 1 m (20)		1 e 1 m (20)	2 e					xl 375	4 1 2	80 / 25 20 / 30	n/a	clan	481	timberwolf	hero	375	0	375	375
clan.executioner.cherbi hero	cherbi hero	95	xl 380	3 e	1 m (20)		1 m (20)	1 b		4			xl 380	3 1 2	80 / 30 25 / 30	n/a	clan	594	executioner	hero	380	0	380	380
clan.executioner.exe-a	exe-a	95	xl 380	3 e			2 b	4 e		4			xl 380	7 2 0	80 / 30 25 / 30	7,170 17,924,467	clan	286	executioner	normal	380	0	380	380
clan.executioner.exe-b	exe-b	95	xl 380	1 b			1 ams 1 e	1 e		4			xl 380	2 1 0	80 / 30 25 / 30	7,280 18,194,422	clan	287	executioner	normal	380	0	380	380
clan.executioner.exe-c	exe-c	95	xl 380	1 m (20)	1 e			1 b		4			xl 380	1 1 1	80 / 30 25 / 30	7,200 17,999,162	clan	432	executioner	normal	380	0	380	380
clan.executioner.exe-c(l) special	exe-c(l) special	95	xl 380	1 m (20)	1 e			1 b		4			xl 380	1 1 1	80 / 30 25 / 30	n/a	clan	343	executioner	special	380	0	380	380
clan.executioner.exe-d	exe-d	95	xl 380	2 m (20x2)	1 e		2 e	7 e		4			xl 380	10 0 2	80 / 30 25 / 30	7,005 17,505,967	clan	288	executioner	normal	380	0	380	380
clan.executioner.exe-e	exe-e	95	xl 380	2 m (20x2)			3 e	2 e		4			xl 380	5 0 2	80 / 30 25 / 30	n/a	clan	603	executioner	normal	380	0	380	380
clan.executioner.exe-prime	exe-prime	95	xl 380	1 b			2 b	2 e		4			xl 380	2 3 0	80 / 30 25 / 30	7,070 17,674,467	clan	285	executioner	normal	380	0	380	380
clan.blacklanner.bellonarius hero	bellonarius hero	55	xl 385	3 b	1 e 1 m (20)		1 m (20)	3 b	1 e				xl 385	2 6 2	125 / 0 25 / 30	n/a	clan	668	blacklanner	hero	385	0	385	385
clan.blacklanner.bkl-a	bkl-a	55	xl 385	2 e	1 e		1 ams	1 e	1 ecm				xl 385	4 0 0	125 / 0 25 / 30	n/a	clan	664	blacklanner	normal	385	0	385	385
clan.blacklanner.bkl-c	bkl-c	55	xl 385	6 e				1 m (20)					xl 385	6 0 1	125 / 0 25 / 30	n/a	clan	665	blacklanner	normal	385	0	385	385
clan.blacklanner.bkl-d	bkl-d	55	xl 385	2 b 2 e	1 e 1 m (20)		1 m (20)	2 b 2 e					xl 385	5 4 2	125 / 0 25 / 30	n/a	clan	666	blacklanner	normal	385	0	385	385
clan.blacklanner.bkl-e	bkl-e	55	xl 385	1 m (20)				3 e					xl 385	3 0 1	125 / 0 25 / 30	n/a	clan	667	blacklanner	normal	385	0	385	385
clan.blacklanner.bkl-prime	bkl-prime	55	xl 385	2 e	1 m (20)		1 m (20)	1 e	1 ecm				xl 385	3 0 2	125 / 0 25 / 30	n/a	clan	663	blacklanner	normal	385	0	385	385
clan.linebacker.lbk-a	lbk-a	65	xl 390	1 e	1 m (20)		2 e 1 m (20)	1 e					xl 390	4 0 2	90 / 20 25 / 30	5,395	clan	471	linebacker	normal	390	0	390	390
clan.linebacker.lbk-b	lbk-b	65	xl 390	2 e	1 ams 1 e		1 b	1 e					xl 390	4 1 0	90 / 20 25 / 30	5,200	clan	472	linebacker	normal	390	0	390	390
clan.linebacker.lbk-c	lbk-c	65	xl 390	2 e	3 e		2 b 1 e	1 b					xl 390	6 3 0	90 / 20 25 / 30	5,340	clan	473	linebacker	normal	390	0	390	390
clan.linebacker.lbk-d	lbk-d	65	xl 390	2 m (20x2)	2 e		1 e	2 m (20x2)					xl 390	3 0 4	90 / 20 25 / 30	5,330	clan	474	linebacker	normal	390	0	390	390
clan.linebacker.lbk-h	lbk-h	65	xl 390	1 e	1 e	1 e	1 e	1 e					xl 390	5 0 0	90 / 20 25 / 30	n/a	clan	673	linebacker	normal	390	0	390	390
clan.linebacker.lbk-h(l) special	lbk-h(l) special	65	xl 390	1 e	1 e	1 e	1 e	1 e					xl 390	5 0 0	90 / 20 25 / 30	n/a	clan	647	linebacker	special	390	0	390	390
clan.linebacker.lbk-prime	lbk-prime	65	xl 390	1 e	1 m (20)		1 e 1 m (20)	1 e					xl 390	3 0 2	90 / 20 25 / 30	5,365	clan	470	linebacker	normal	390	0	390	390
clan.linebacker.redline hero	redline hero	65	xl 390	1 b	2 e		3 e	1 m (20)					xl 390	5 1 1	90 / 20 25 / 30	6,095	clan	475	linebacker	hero	390	0	390	390
clan.gargoyle.gar-a	gar-a	80	xl 400	4 e				2 e					xl 400	6 0 0	90 / 20 20 / 30	6,240 15,593,762	clan	235	gargoyle	normal	400	0	400	400
clan.gargoyle.gar-b	gar-b	80	xl 400	2 m (20x2)				1 b					xl 400	0 1 2	90 / 20 20 / 30	6,010 15,015,380	clan	304	gargoyle	normal	400	0	400	400
clan.gargoyle.gar-c	gar-c	80	xl 400	1 b				6 e					xl 400	6 1 0	90 / 20 20 / 30	6,295 15,733,594	clan	262	gargoyle	normal	400	0	400	400
clan.gargoyle.gar-d	gar-d	80	xl 400	2 e		2 e		2 e					xl 400	6 0 0	90 / 20 20 / 30	6,015 15,031,762	clan	236	gargoyle	normal	400	0	400	400
clan.gargoyle.gar-e	gar-e	80	xl 400	2 e	2 e 1 m (20)		2 e	1 m (20)					xl 400	6 0 2	90 / 20 20 / 30	n/a	clan	602	gargoyle	normal	400	0	400	400
clan.gargoyle.gar-prime	gar-prime	80	xl 400	1 b 1 m (20)	1 ams	1 e		1 b 1 m (20)					xl 400	1 2 2	90 / 20 20 / 30	6,070 15,167,822	clan	234	gargoyle	normal	400	0	400	400
clan.gargoyle.kin wolf hero	kin wolf hero	80	xl 400	1 b	2 m (20x2)	1 e	1 m (20)	1 b					xl 400	1 2 3	90 / 20 20 / 30	n/a	clan	593	gargoyle	hero	400	0	400	400
clan.kodiak.kdk-1	kdk-1	100	xl 400	4 e	2 m (20x2)	1 e	1 ams 1 b	4 e					200 - 400 xl 400	9 1 2	70 / 30 20 / 30	6,410 16,015,225	clan	406	kodiak	normal	400	0	200	400
clan.kodiak.kdk-2	kdk-2	100	xl 400	2 e	1 m (20)	2 e	1 ams 1 b	2 e		4			200 - 400 xl 400	6 1 1	70 / 30 20 / 30	6,280 15,689,225	clan	407	kodiak	normal	400	0	200	400
clan.kodiak.kdk-3	kdk-3	100	xl 400	2 e	2 b		1 ams 2 b	2 e					200 - 400 xl 400	4 4 0	60 / 30 16 / 30	6,420 16,039,165	clan	408	kodiak	normal	400	0	200	400
clan.kodiak.kdk-4	kdk-4	100	xl 400	2 e 1 m (20)			1 ams 2 b	2 e 1 m (20)					200 - 400 xl 400	4 2 2	70 / 30 20 / 30	6,440 16,095,705	clan	409	kodiak	normal	400	0	200	400
clan.kodiak.kdk-5	kdk-5	100	xl 400	5 e		1 e	1 ams 1 b	5 e					200 - 400 xl 400	11 1 0	70 / 30 20 / 30	6,270 15,663,255	clan	410	kodiak	normal	400	0	200	400
clan.kodiak.spirit bear hero	spirit bear hero	100	xl 400	1 e	3 m (20x3)	1 m (15)	1 ams 1 b	1 e					200 - 400 xl 400	2 1 4	70 / 30 20 / 30	7,500	clan	411	kodiak	hero	400	0	200	400
innersphere.panther.katana kat hero	katana kat hero	35	xl 140	2 e	1 ams	1 m (10)		2 e		8			100 - 250 xl 140	4 0 1	110 / 40 20 / 30	n/a	innersphere	550	panther	hero	140	0	100	250
innersphere.panther.pnt-10p	pnt-10p	35	xl 175		1 ams	2 m (10, 5)		2 b		4			100 - 300 xl 175	0 2 2	110 / 40 20 / 30	1,710 4,264,458	innersphere	312	panther	normal	175	0	100	300
innersphere.javelin.hi there! hero	hi there! hero	30	xl 180	2 e	1 m (10)	1 ams	1 m (10)	2 e		6			100 - 255 xl 180	4 0 2	90 / 35 20 / 25	2,250	innersphere	547	javelin	hero	180	0	100	255
innersphere.javelin.jvn-11f	jvn-11f	30	xl 180	3 b		1 ams	2 e	3 b		6			100 - 255 xl 180	2 6 0	110 / 35 20 / 25	n/a	innersphere	776	javelin	normal	180	0	100	255
innersphere.locust.lct-1e(c) champion	lct-1e(c) champion	20	xl 190	3 e			1 ams	3 e					100 - 190 xl 190	6 0 0	120 / 0 20 / 60	760	innersphere	396	locust	champion	190	0	100	190
innersphere.locust.pirates&#039; bane hero	pirates&#039; bane hero	20	xl 190		1 ecm 2 e	2 b	1 ams 2 e						100 - 190 xl 190	4 2 0	120 / 0 20 / 60	1,500	innersphere	222	locust	hero	190	0	100	190
innersphere.hunchback.grid iron hero	grid iron hero	50	xl 200	1 e	1 ams 1 m (10)		2 b	1 e	1 e				100 - 275 xl 200	3 2 1	125 / 40 25 / 35	3,750	innersphere	133	hunchback	hero	200	0	100	275
innersphere.raven.rvn-3l	rvn-3l	35	xl 210	1 m (20)	1 ecm 1 ams		1 e 1 m (10)	2 e					100 - 295 xl 210	3 0 2	120 / 0 20 / 30	2,350 5,862,992	innersphere	33	raven	normal	210	0	100	295
innersphere.kintaro.golden boy hero	golden boy hero	55	xl 220	1 e 2 m (20, 15)	1 ams	2 m (10, 5)	1 m (20)	2 e					110 - 290 xl 220	3 0 5	90 / 20 30 / 30	4,125	innersphere	93	kintaro	hero	220	0	110	290
innersphere.marauder.bounty hunter ii hero	bounty hunter ii hero	75	xl 225	3 e	1 ams		1 b	3 e	1 e	4			150 - 300 xl 225	7 1 0	95 / 0 20 / 40	5,625	innersphere	348	marauder	hero	225	0	150	300
innersphere.blackjack.bj-1(c) champion	bj-1(c) champion	45	xl 235	1 b 1 e	1 ams 1 e		1 e	1 b 1 e		4			100 - 235 xl 235	4 2 0	110 / 0 30 / 30	1,695	innersphere	122	blackjack	champion	235	0	100	235
innersphere.panther.pnt-10k(c) champion	pnt-10k(c) champion	35	xl 235		1 ams	2 m (10, 5)	1 ams	2 e		8			100 - 250 xl 235	2 0 2	110 / 40 20 / 30	1,445	innersphere	448	panther	champion	235	0	100	250
innersphere.osiris.osr-1p	osr-1p	30	xl 240	2 b	1 ams 1 m (10)	2 e	1 m (10)	2 b		4			100 - 285 xl 240	2 4 2	110 / 0 25 / 30	n/a	innersphere	613	osiris	normal	240	0	100	285
